,Player,Role,Kills,Deaths,Assists,KDA,CS,CS in Team's Jungle,CS in Enemy Jungle,CSM,Golds,GPM,GOLD%,Vision Score,Wards placed,Wards destroyed,Control Wards Purchased,VSPM,WPM,VWPM,WCPM,VS%,Total damage to Champion,Physical Damage,Magic Damage,True Damage,DPM,DMG%,K+A Per Minute,KP%,Solo kills,Double kills,Triple kills,Quadra kills,Penta kills,GD@15,CSD@15,XPD@15,LVLD@15,Damage dealt to turrets,Total heal,Damage self mitigated,Time ccing others,Total damage taken,Champions
21,Inspired,JUNGLE,6,1,5,11,236,121,37,7.3,12806,396,21.3%,54,10,17,5,1.67,0.31,0.15,0.53,20.5%,16096,400,15464,232,498,30.7%,0.34,84.6%,1,1,0,0,0,449,15,755,1,1798,21693,15332,0,26093,Nidalee
22,Larssen,MID,2,1,6,8,350,26,7,10.8,14216,440,23.7%,41,16,9,4,1.27,0.49,0.12,0.28,15.5%,14195,12169,2026,0,439,27.1%,0.25,61.5%,,0,0,0,0,379,39,1210,1,7746,1708,7508,0,12274,Lucian
23,Hans sama,ADC,5,1,6,11,319,35,0,9.9,14848,459,24.7%,50,13,13,3,1.55,0.4,0.09,0.4,18.9%,15582,13884,375,1323,482,29.7%,0.34,84.6%,,1,0,0,0,-953,-13,-943,-1,7276,1520,5960,8,9905,Jinx
24,Trymbi,SUPPORT,0,3,8,2.7,28,0,0,0.9,7099,220,11.8%,79,45,9,16,2.44,1.39,0.49,0.28,29.9%,2569,316,1976,277,79,4.9%,0.25,61.5%,,0,0,0,0,-272,-2,-302,-1,1934,861,10293,12,10150,Thresh
25,Wunder,TOP,0,3,2,0.7,229,4,0,7.1,9166,283,17.9%,25,15,4,4,0.77,0.46,0.12,0.12,9.4%,9824,2200,7624,0,304,21%,0.06,22.2%,,0,0,0,0,-945,-6,-1008,-1,116,3210,12704,16,11449,Karma
26,Jankos,JUNGLE,0,3,5,1.7,184,121,5,5.7,9012,279,17.6%,59,24,11,8,1.82,0.74,0.25,0.34,22.2%,5599,4717,515,367,173,12%,0.15,55.6%,,0,0,0,0,-449,-15,-755,-1,0,16709,15347,124,27710,Nocturne
27,Caps,MID,2,3,6,2.7,242,16,0,7.5,11797,365,23.1%,34,11,7,2,1.05,0.34,0.06,0.22,12.8%,13272,1030,11733,509,410,28.4%,0.25,88.9%,,0,0,0,0,-379,-39,-1210,-1,963,1555,10842,25,18549,Twisted Fate
28,Rekkles,ADC,6,0,3,Perfect KDA,307,4,0,9.5,14163,438,27.7%,50,16,11,6,1.55,0.49,0.19,0.34,18.8%,12952,11362,1526,64,401,27.7%,0.28,100%,,1,0,0,0,953,13,943,1,2141,2093,3827,21,7662,Jhin
29,Mikyx,SUPPORT,1,4,6,1.8,34,0,0,1.1,6943,215,13.6%,98,67,14,24,3.03,2.07,0.74,0.43,36.8%,5112,1035,3671,406,158,10.9%,0.22,77.8%,,0,0,0,0,272,2,302,1,611,996,9612,20,16420,Blitzcrank
30,Wunder,TOP,5,4,4,2.3,317,12,0,8.8,15338,427,23.6%,42,20,9,8,1.17,0.56,0.22,0.25,16.3%,13057,12688,0,369,364,29.1%,0.25,69.2%,,1,0,0,0,-318,1,-759,0,8111,3123,35338,15,28738,Urgot
