,W/L,TeamGold,OppGold
227,WIN,73.6,72.2
228,WIN,85.3,72.1
229,WIN,52,38.5
230,LOSS,70.9,69.7
231,WIN,62.1,44
232,WIN,58.6,40.7
233,WIN,70.9,57.3
234,WIN,53.5,41.1
235,LOSS,48.1,57.7
236,WIN,64.8,49.8
237,WIN,59.9,48.7
238,LOSS,60.4,64.7
239,WIN,70,55
240,WIN,66.1,55
241,WIN,62.7,49.4
242,LOSS,64,70.5
243,WIN,64.4,46.6
244,LOSS,53.9,63.1
245,LOSS,51.4,59.2
246,LOSS,63,68.7
247,LOSS,55.4,66.9
248,LOSS,81.8,86
249,LOSS,59.1,68.2
250,LOSS,42.4,56.4
251,WIN,67.4,60.4
252,WIN,60.3,48.9
253,WIN,73.9,67.5
254,LOSS,45.2,52.5
255,WIN,73.4,64
256,LOSS,47.3,59.8
257,WIN,53.5,37
258,LOSS,42.5,56.4
259,WIN,71.9,59.2
260,LOSS,65.4,67.8
261,LOSS,64,70.8
262,LOSS,38.6,47.6
263,WIN,55.5,43.4
264,WIN,60.1,47.7
265,WIN,89.6,79.5
266,WIN,50.6,37.9
267,WIN,50.3,37.7
268,WIN,50,36.3
269,WIN,55.1,42.4
270,WIN,68,54.7
271,WIN,49.4,32
272,LOSS,50.9,64
273,LOSS,58.7,70.8
274,LOSS,73.2,77.6
275,WIN,78.2,61.9
276,WIN,66.8,59
277,WIN,67.2,53.4
278,LOSS,76.4,72.7
279,WIN,64.8,52
280,WIN,84.1,78.2
281,WIN,94.3,81.3
282,LOSS,84.5,93.8
283,LOSS,66.1,74.2
284,WIN,80.7,85.1
285,LOSS,47.2,57.7
286,LOSS,76.8,73.8
287,WIN,80.7,63.4
288,WIN,68.5,63.8
289,WIN,66.3,51.5
290,WIN,76.1,60.4
291,WIN,107.5,104.1
292,WIN,69.2,50.6
293,WIN,77,67.2
294,LOSS,79.3,84.6
295,LOSS,70.2,76.3
296,LOSS,82.5,87
297,WIN,86.6,73.8
298,LOSS,49,55.6
299,LOSS,38,51.9
300,LOSS,70.2,80
301,WIN,67.2,64.1
302,WIN,64.6,61.4
303,LOSS,61.2,73.3
304,WIN,63.1,61.4
305,WIN,62.5,52.7
306,WIN,63.3,52.3
307,LOSS,76.1,90.4
308,WIN,65.4,57.8
309,LOSS,43.3,56.4
310,LOSS,40,55.3
311,WIN,67.1,52.5
312,WIN,59.8,49.1
313,WIN,60.7,51
314,WIN,53.6,39
315,WIN,59.7,48.8
316,WIN,71.1,58.3
317,WIN,59.4,49.3
318,LOSS,67,82.6
319,WIN,56,41.4
320,LOSS,53.5,68.1
321,WIN,45,30.3
322,WIN,50.3,38.6
323,WIN,77.6,73.3
324,LOSS,53.5,59.8
325,LOSS,45.8,58.2
326,WIN,67,49.9
327,LOSS,54,63.2
328,WIN,54.2,47.7
329,WIN,52.4,37.5
330,WIN,54.3,41.2
331,LOSS,42.8,57.1
332,WIN,51.6,37.5
333,WIN,48.1,35.7
334,WIN,65.2,56.4
335,WIN,46.3,29.6
336,WIN,64.8,54.7
337,WIN,52.2,39.4
338,LOSS,58.6,68.9
339,WIN,48.6,37.4
340,LOSS,42,46.9
341,WIN,54.2,37
342,WIN,46.7,32.7
343,LOSS,45.4,58.6
344,WIN,48,40.5
345,WIN,58.6,45.9
346,WIN,71.2,61.2
347,WIN,48.3,37.2
348,WIN,38.7,25.1
349,WIN,55.9,46.1
350,WIN,52.8,37.7
351,WIN,61.7,51.9
352,WIN,65.5,59.9
353,LOSS,55.6,71.2
354,WIN,64.1,50.7
355,LOSS,39.6,49.3
356,LOSS,47.3,61
357,LOSS,53.6,62.6
358,LOSS,59.5,71.7
359,WIN,60.9,49.6
360,WIN,70.6,58.4
361,LOSS,50.4,71.5
362,WIN,68,56.9
363,WIN,59.2,50.2
364,LOSS,46.8,60.9
365,WIN,51.2,41
366,WIN,37.6,26.6
367,WIN,53.7,39.3
368,WIN,58.6,51.2
369,WIN,49.5,42.5
370,WIN,61.2,48.5
371,WIN,90.7,88.1
372,LOSS,61.3,69.3
373,LOSS,88.7,87.6
374,WIN,78.1,77.3
375,LOSS,72.2,84.2
376,LOSS,64.7,63.7
377,WIN,54.7,43.8
378,WIN,58.9,49.1
379,WIN,43.8,37.8
380,LOSS,54,65.6
381,WIN,60.6,43.3
382,WIN,44.2,30.1
383,WIN,57.9,44.2
384,WIN,80.4,72
385,WIN,49,41.2
386,WIN,46.8,35.9
387,WIN,79.2,74.6
388,WIN,53,37
389,WIN,54.2,42.7
390,LOSS,28.6,40.1
391,LOSS,51.1,59
392,WIN,66.6,55.7
393,LOSS,46.1,59.8
394,WIN,59.5,55.2
395,WIN,61,48.9
396,WIN,61.6,49.6
