,County,Total Cases,Total Cases per 100k,Total Deaths,Total Deaths per 100k,Fully Vaccinated,Daily Case Avg,Daily Case 14-Day change %,Hospitalized Daily Avg,Hosp. Daily per 100k,Hosp. Daily change %,Deaths Daily Avg.,Deaths Daily per 100k
3013,Warren ›,5550.0,13446.0,81.0,196.0,22.0,17.0,7.0,13,-23.0,0.0,,37.0
3014,Warrick ›,7792.0,12369.0,158.0,251.0,41.0,7.0,17.0,18,47.0,0.0,,26.0
3015,Wasatch ›,4645.0,13625.0,22.0,65.0,26.0,6.0,19.0,,0.0,0.0,,20.0
3016,Wasco ›,1377.0,5161.0,28.0,105.0,36.0,115.0,14.0,7,-39.0,1.0,0.12,42.0
3017,Waseca ›,2359.0,12675.0,22.0,118.0,35.0,10.0,24.0,19,-26.0,0.0,,22.0
3018,Washakie ›,917.0,11749.0,26.0,333.0,27.0,6.0,20.0,,0.0,0.0,,32.0
3019,Washburn ›,1557.0,9905.0,22.0,140.0,44.0,3.0,5.0,2,-59.0,0.0,,33.0
3020,Washington ›,2542.0,11573.0,50.0,228.0,38.0,1.0,8.0,,0.0,0.0,,34.0
3021,Washington ›,533.0,9859.0,14.0,259.0,36.0,0.0,,,0.0,0.0,,22.0
3022,Washington ›,21073.0,11868.0,205.0,115.0,24.0,66.0,10.0,4,0.0,0.6,0.09,24.0
3023,Washington ›,16761.0,12321.0,168.0,123.0,36.0,5.0,12.0,2,-59.0,0.0,,28.0
3024,Washington ›,2193.0,10579.0,25.0,121.0,36.0,1.0,8.0,,0.0,0.0,,19.0
3025,Washington ›,2142.0,10513.0,86.0,422.0,0.0,1.0,14.0,21,8.0,0.0,,25.536858475894245
3026,Washington ›,17378.0,8401.0,296.0,143.0,38.0,168.0,14.0,13,-27.0,2.7,0.22,41.0
3027,Washington ›,14416.0,9544.0,280.0,185.0,32.0,17.0,11.0,5,-56.0,0.6,0.38,32.0
3028,Washington ›,1645.0,11846.0,31.0,223.0,35.0,86.0,16.0,9,-18.0,0.5,0.09,32.0
3029,Washington ›,456.0,9291.0,13.0,265.0,0.0,4.0,7.0,4,-52.0,0.0,,25.536858475894245
3030,Washington ›,5208.0,8693.0,109.0,182.0,35.0,11.0,5.0,8,-17.0,0.3,0.14,48.0
3031,Washington ›,26834.0,10225.0,283.0,108.0,40.0,1.0,20.0,14,-37.0,0.0,,34.0
3032,Washington ›,855.0,2725.0,16.0,51.0,46.0,10.0,16.0,4,-49.0,0.0,,44.0
3033,Washington ›,9935.0,7911.0,169.0,135.0,47.0,8.0,7.0,8,-24.0,0.0,,47.0
3034,Washington ›,2745.0,11100.0,49.0,198.0,17.0,16.0,6.0,9,-12.0,0.0,,29.0
3035,Washington ›,1074.0,9275.0,31.0,268.0,27.0,40.0,10.0,13,-16.0,0.6,0.15,35.0
3036,Washington ›,1215.0,11919.0,21.0,206.0,24.0,24.0,11.0,5,-43.0,0.3,0.15,23.0
3037,Washington ›,4075.0,11357.0,93.0,259.0,31.0,2.0,49.0,,-100.0,0.0,,21.0
3038,Washington ›,1846.0,3160.0,15.0,26.0,0.0,10.0,6.0,1,-56.0,0.1,0.09,25.536858475894245
3039,Washington ›,2416.0,8617.0,32.0,114.0,25.0,1.0,6.0,10,14.0,0.0,,30.0
3040,Washington ›,4920.0,9155.0,109.0,203.0,0.0,27.0,7.0,8,-19.0,0.3,0.07,25.536858475894245
3041,Washington ›,25592.0,4254.0,233.0,39.0,37.0,10.0,9.0,6,2.0,0.1,0.13,31.0
3042,Washington ›,1676.0,10266.0,39.0,239.0,23.0,1.0,7.0,11,211.0,0.1,0.72,24.0
3043,Washington ›,14681.0,11348.0,245.0,189.0,36.0,2.0,7.0,10,35.0,0.0,,22.0
3044,Washington ›,4375.0,9471.0,131.0,284.0,22.0,2.0,12.0,5,-24.0,0.1,1.03,23.0
3045,Washington ›,1440.0,11906.0,37.0,306.0,32.0,4.0,25.0,6,8.0,0.0,,29.0
3046,Washington ›,2739.0,10753.0,52.0,204.0,17.0,6.0,13.0,11,-14.0,0.0,,24.0
3047,Washington ›,31025.0,12971.0,351.0,147.0,27.0,3.0,5.0,11,-24.0,0.0,,27.0
3048,Washington ›,5207.0,10105.0,109.0,212.0,24.0,1.0,0.0,10,-8.0,0.1,0.52,29.0
3049,Washington ›,3073.0,5021.0,55.0,90.0,39.0,3.0,8.0,4,-34.0,0.0,,35.0
3050,Washington ›,5339.0,12159.0,134.0,305.0,23.0,2.0,10.0,3,-44.0,0.0,,22.0
3051,Washita ›,1083.0,9921.0,22.0,202.0,23.0,0.0,,9,-4.0,0.0,,38.0
3052,Washoe ›,45675.0,9687.0,676.0,143.0,37.0,4.0,7.0,,-100.0,0.0,,22.0
3053,Washtenaw ›,26683.0,7259.0,291.0,79.0,45.0,7.0,10.0,12,-32.0,0.4,0.64,45.0
3054,Watauga ›,4628.0,8238.0,31.0,55.0,36.0,3.0,12.0,17,1.0,0.1,0.63,31.0
3055,Watonwan ›,1321.0,12123.0,9.0,83.0,36.0,30.0,20.0,13,-6.0,0.0,,37.0
3056,Waukesha ›,48724.0,12054.0,584.0,144.0,44.0,12.0,10.0,2,-53.0,0.4,0.36,46.0
3057,Waupaca ›,6025.0,11816.0,164.0,322.0,33.0,89.0,9.0,11,-10.0,2.9,0.3,38.0
3058,Waushara ›,2507.0,10257.0,37.0,151.0,29.0,2.0,7.0,4,-32.0,0.1,0.52,57.0
3059,Waynesboro ›,2371.0,10477.0,38.0,168.0,0.0,3.0,12.0,15,6.0,0.0,,25.536858475894245
3060,Wayne ›,4005.0,7798.0,80.0,156.0,37.0,5.0,12.0,8,87.0,0.0,,30.0
3061,Wayne ›,11198.0,9094.0,245.0,199.0,27.0,9.0,10.0,12,-13.0,0.0,,28.0
3062,Wayne ›,1775.0,10947.0,54.0,333.0,26.0,2.0,16.0,15,19.0,0.0,,35.0
3063,Wayne ›,161042.0,9206.0,4843.0,277.0,31.0,8.0,23.0,10,-29.0,0.1,0.4,42.0
3064,Wayne ›,3602.0,12036.0,88.0,294.0,0.0,4.0,9.0,9,-35.0,0.0,,25.536858475894245
3065,Wayne ›,5622.0,6252.0,67.0,75.0,38.0,9.0,9.0,8,-46.0,0.0,,43.0
3066,Wayne ›,1088.0,11593.0,7.0,75.0,28.0,1.0,19.0,13,14.0,0.0,,11.0
3067,Wayne ›,539.0,8368.0,23.0,357.0,29.0,0.0,,,0.0,0.0,,36.0
3068,Wayne ›,2626.0,13011.0,41.0,203.0,18.0,5.0,8.0,17,-13.0,0.0,,33.0
3069,Wayne ›,128.0,4722.0,0.0,201.96666666666667,34.0,0.0,,,-100.0,0.0,,21.0
3070,Wayne ›,1036.0,8048.0,12.0,93.0,21.0,1.0,2.0,,0.0,0.0,,17.0
3071,Wayne ›,2212.0,10879.0,50.0,246.0,23.0,7.0,15.0,7,17.0,0.0,,27.0
3072,Wayne ›,7444.0,11299.0,203.0,308.0,32.0,4.0,12.0,12,10.0,0.0,,25.0
3073,Wayne ›,8887.0,7680.0,211.0,182.0,28.0,2.0,5.0,7,-32.0,0.0,,25.0
3074,Wayne ›,2968.0,17801.0,34.0,204.0,26.0,5.0,21.0,,0.0,0.0,,21.0
3075,Wayne ›,3098.0,7863.0,41.0,104.0,0.0,10.0,12.0,6,33.0,0.1,0.17,25.536858475894245
3076,Weakley ›,4156.0,12470.0,65.0,195.0,20.0,2.0,9.0,14,-15.0,0.1,0.56,24.0
3077,Webb ›,44022.0,15912.0,835.0,302.0,41.0,4.0,20.0,9,125.0,0.0,,17.0
3078,Weber ›,29094.0,11181.0,203.0,78.0,27.0,26.0,10.0,5,-49.0,0.3,0.11,27.0
3079,Webster ›,387.0,11098.0,7.0,201.0,27.0,1.0,12.0,,0.0,0.0,,22.0
3080,Webster ›,145.0,5562.0,4.0,153.0,0.0,0.0,,15,4.0,0.0,,25.536858475894245
3081,Webster ›,490.0,6039.0,7.0,86.0,0.0,2.0,7.0,14,-17.0,0.0,,25.536858475894245
3082,Webster ›,5124.0,14271.0,93.0,259.0,37.0,16.0,7.0,5,22.0,0.1,0.06,42.0
3083,Webster ›,1275.0,9852.0,20.0,155.0,26.0,2.0,16.0,4,-21.0,0.1,1.16,21.0
3084,Webster ›,3596.0,9083.0,54.0,136.0,24.0,1.0,4.0,3,-33.0,0.0,,22.0
3085,Webster ›,1145.0,11818.0,32.0,330.0,26.0,2.0,8.0,12,-9.0,0.0,,23.0
3086,Webster ›,4126.0,10762.0,113.0,295.0,24.0,28.0,11.0,12,-4.0,0.3,0.12,26.0
3087,Weld ›,31673.0,9761.0,336.0,104.0,0.0,9.0,16.0,,-100.0,0.0,,25.536858475894245
3088,Wells ›,456.0,11894.0,8.0,209.0,31.0,1.0,4.0,,-100.0,0.0,,35.0
3089,Wells ›,2944.0,10404.0,83.0,293.0,27.0,2.0,23.0,,-100.0,0.0,,30.0
3090,West Baton Rouge ›,2878.0,10875.0,60.0,227.0,28.0,6.0,12.0,7,8.0,0.1,0.29,24.0
3091,West Carroll ›,1178.0,10877.0,41.0,379.0,27.0,6.0,12.0,6,-9.0,0.1,0.3,17.0
3092,West Feliciana ›,1169.0,7509.0,34.0,218.0,49.0,2.0,4.0,,0.0,0.0,,22.0
3093,Westchester ›,128702.0,13302.0,2265.0,234.0,45.0,13.0,21.0,20,-3.0,0.0,,37.0
3094,Westmoreland ›,33507.0,9604.0,752.0,216.0,36.0,9.0,19.0,13,-4.0,0.0,,25.0
3095,Westmoreland ›,1281.0,7111.0,26.0,144.0,0.0,1.0,6.0,12,-12.0,0.0,,25.536858475894245
3096,Weston ›,651.0,9398.0,5.0,72.0,23.0,1.0,10.0,,-100.0,0.0,,28.0
3097,Wetzel ›,1345.0,8928.0,30.0,199.0,0.0,15.0,20.0,16,-45.0,0.4,0.58,25.536858475894245
3098,Wexford ›,2827.0,8406.0,44.0,131.0,33.0,6.0,20.0,22,-16.0,0.1,0.46,38.0
3099,Wharton ›,4127.0,9931.0,116.0,279.0,25.0,1.0,7.0,6,-21.0,0.0,,21.0
3100,Whatcom ›,8915.0,3889.0,95.0,41.0,42.0,6.0,6.0,,-100.0,0.0,,37.0
3101,Wheatland ›,179.0,8420.0,8.0,376.0,22.0,1.0,4.0,8,276.0,0.0,,23.0
3102,Wheeler ›,39.0,4981.0,0.0,201.96666666666667,20.0,0.0,,,0.0,0.0,,31.0
3103,Wheeler ›,32.0,2402.0,1.0,75.0,42.0,2.0,3.0,9,-1.0,0.1,0.29,45.0
3104,Wheeler ›,544.0,10759.0,10.0,198.0,24.0,1.0,15.0,,-100.0,0.0,,25.0
3105,Wheeler ›,628.0,7995.0,24.0,306.0,0.0,1.0,4.0,,0.0,0.0,,25.536858475894245
3106,White Pine ›,612.0,6388.0,6.0,63.0,34.0,1.0,3.0,,-100.0,0.0,,36.0
3107,Whiteside ›,7244.0,13129.0,213.0,386.0,31.0,39.0,22.0,33,-35.0,1.7,0.96,36.0
3108,White ›,3149.0,13065.0,55.0,228.0,32.0,10.0,22.0,,-100.0,0.0,,28.0
3109,White ›,8022.0,10186.0,118.0,150.0,24.0,1.0,4.0,,0.0,0.0,,25.0
3110,White ›,1696.0,12529.0,36.0,266.0,29.0,6.0,20.0,17,16.0,0.1,0.5,30.0
3111,White ›,3677.0,13447.0,70.0,256.0,25.0,4.0,7.0,7,-67.0,0.0,,21.0
3112,White ›,3215.0,10439.0,80.0,260.0,0.0,3.0,13.0,8,-10.0,0.0,,25.536858475894245
3113,Whitfield ›,16944.0,16195.0,245.0,234.0,0.0,8.0,57.0,11,-17.0,0.0,,25.536858475894245
3114,Whitley ›,3971.0,11692.0,39.0,115.0,29.0,139.0,14.0,18,10.0,1.3,0.13,28.0
3115,Whitley ›,4975.0,13719.0,57.0,157.0,27.0,4.0,32.0,4,-48.0,0.0,,32.0
3116,Whitman ›,4296.0,8574.0,48.0,96.0,28.0,3.0,24.0,,-100.0,0.3,2.08,24.0
3117,Wibaux ›,121.0,12487.0,6.0,619.0,18.0,1.0,25.0,,0.0,0.0,,21.0
3118,Wichita ›,216.0,10193.0,6.0,283.0,34.0,1.0,2.0,,0.0,0.0,,27.0
3119,Wichita ›,15019.0,11358.0,377.0,285.0,27.0,1.0,54.0,6,-19.0,0.0,,20.0
3120,Wicomico ›,7555.0,7292.0,153.0,148.0,34.0,79.0,9.0,17,-18.0,2.1,0.24,35.0
3121,Wilbarger ›,1912.0,14974.0,55.0,431.0,34.0,7.0,17.0,22,-6.0,0.0,,19.0
3122,Wilcox ›,1271.0,12253.0,30.0,289.0,28.0,7.0,7.0,16,4.0,0.1,0.15,22.0
3123,Wilcox ›,832.0,9635.0,47.0,544.0,0.0,2.0,8.0,23,-13.0,0.0,,25.536858475894245
3124,Wilkes ›,6666.0,9744.0,113.0,165.0,24.0,12.0,12.0,8,1.0,0.0,,35.0
3125,Wilkes ›,1085.0,11097.0,28.0,286.0,0.0,8.0,6.0,8,-1.0,0.0,,25.536858475894245
3126,Wilkinson ›,673.0,7798.0,31.0,359.0,34.0,0.0,,8,0.0,0.0,,26.0
3127,Wilkinson ›,929.0,10375.0,28.0,313.0,0.0,1.0,12.0,7,85.0,0.0,,25.536858475894245
3128,Wilkin ›,811.0,13066.0,12.0,193.0,21.0,6.0,27.0,16,-26.0,0.0,,31.0
3129,Willacy ›,2993.0,14013.0,88.0,412.0,32.0,115.0,13.0,9,-41.0,2.3,0.26,36.0
3130,Williamsburg ›,4066.0,13389.0,99.0,326.0,32.0,5.0,18.0,,-100.0,0.1,0.55,24.0
3131,Williamsburg ›,766.0,5122.0,13.0,87.0,0.0,1.0,1.0,,0.0,0.0,,25.536858475894245
3132,Williamson ›,46184.0,7820.0,470.0,80.0,36.0,1.0,3.0,3,-33.0,0.0,,27.0
3133,Williamson ›,7428.0,11154.0,141.0,212.0,31.0,2.0,27.0,13,9.0,0.1,2.11,38.0
3134,Williamson ›,28104.0,11788.0,217.0,91.0,37.0,2.0,8.0,11,-21.0,0.0,,20.0
3135,Williams ›,4843.0,12884.0,39.0,104.0,16.0,1.0,7.0,5,-6.0,0.0,,29.0
3136,Williams ›,3414.0,9304.0,75.0,204.0,31.0,5.0,9.0,5,-21.0,0.0,,32.0
3137,Will ›,75456.0,10924.0,1063.0,154.0,32.0,1.0,13.0,36,-35.0,0.0,,33.0
3138,Wilson ›,1011.0,11859.0,16.0,188.0,29.0,1.0,5.0,,0.0,0.0,,31.0
3139,Wilson ›,18902.0,13067.0,236.0,163.0,28.0,2.0,15.0,10,-15.0,0.0,,16.0
3140,Wilson ›,9686.0,11841.0,173.0,211.0,28.0,9.0,20.0,13,-15.0,0.0,,21.0
3141,Wilson ›,4515.0,8841.0,68.0,133.0,24.0,1.0,5.0,,-100.0,0.0,,24.0
3142,Winchester ›,2869.0,10218.0,45.0,160.0,0.0,3.0,11.0,10,-26.0,0.0,,25.536858475894245
3143,Windham ›,1350.0,3197.0,14.0,33.0,0.0,4.0,9.0,,-100.0,0.0,,25.536858475894245
3144,Windham ›,10775.0,9227.0,193.0,165.0,37.0,21.0,8.0,7,-25.0,0.3,0.13,48.0
