,County,Total Cases,Total Cases per 100k,Total Deaths,Total Deaths per 100k,Fully Vaccinated,Daily Case Avg,Daily Case 14-Day change %,Hospitalized Daily Avg,Hosp. Daily per 100k,Hosp. Daily change %,Deaths Daily Avg.,Deaths Daily per 100k
0,Abbeville ›,2576.0,10503.0,41.0,167.0,26.0,3.0,9.0,8,-55.0,0.1,0.47,32.0
1,Acadia ›,6545.0,10549.0,192.0,309.0,24.0,15.0,10.0,8,10.0,0.0,,20.0
2,Accomack ›,2830.0,8757.0,41.0,127.0,0.0,13.0,5.0,7,-34.0,0.6,0.23,25.536858475894245
3,Adair ›,3181.0,14333.0,41.0,185.0,18.0,6.0,7.0,7,-19.0,0.1,0.18,27.0
4,Adair ›,865.0,12095.0,32.0,447.0,34.0,1.0,9.0,14,99.0,0.1,1.34,39.0
5,Adair ›,2465.0,9727.0,20.0,79.0,30.0,1.0,6.0,11,-12.0,0.0,,19.0
6,Adair ›,1888.0,9832.0,54.0,281.0,23.0,1.0,16.0,20,0.0,0.0,,25.0
7,Adams ›,1945.0,9619.0,17.0,84.0,37.0,1.0,4.0,,0.0,0.0,,36.0
8,Adams ›,2970.0,9470.0,46.0,147.0,26.0,1.0,6.0,14,156.0,0.0,,29.0
9,Adams ›,270.0,12184.0,3.0,135.0,36.0,1.0,5.0,,-100.0,0.0,,52.0
10,Adams ›,8452.0,12917.0,152.0,232.0,35.0,10.0,21.0,7,-58.0,0.4,0.88,35.0
11,Adams ›,3484.0,9738.0,55.0,154.0,23.0,2.0,9.0,8,-1.0,0.3,1.09,33.0
12,Adams ›,2132.0,10669.0,22.0,110.0,26.0,23.0,30.0,7,-6.0,0.3,0.38,33.0
13,Adams ›,341.0,7941.0,4.0,93.0,29.0,1.0,4.0,,-100.0,0.0,,27.0
14,Adams ›,338.0,9384.0,4.0,111.0,37.0,1.0,3.0,2,-48.0,0.0,,37.0
15,Adams ›,59341.0,11469.0,720.0,139.0,0.0,13.0,27.0,,-100.0,0.1,0.3,25.536858475894245
16,Adams ›,2868.0,9344.0,82.0,267.0,26.0,1.0,3.0,6,29.0,0.1,1.28,22.0
17,Adams ›,9373.0,9099.0,180.0,175.0,30.0,57.0,16.0,18,-33.0,0.9,0.25,36.0
18,Adams ›,2393.0,8640.0,52.0,188.0,20.0,3.0,5.0,6,36.0,0.0,,34.0
19,Ada ›,52189.0,10837.0,467.0,97.0,38.0,6.0,5.0,13,-24.0,0.0,,28.0
20,Addison ›,1042.0,2833.0,8.0,22.0,0.0,2.0,6.0,2,-59.0,0.0,,25.536858475894245
21,Adjuntas,549.0,3173.0,184.76028052279247,201.96666666666667,23.0,1.0,5.0,,0.0,0.0,,28.0
22,Aguada,1522.0,4156.0,184.76028052279247,201.96666666666667,26.0,1.0,8.0,,0.0,0.0,,51.0
23,Aguadilla,1842.0,3640.0,184.76028052279247,201.96666666666667,27.0,2.0,6.0,,0.0,0.0,,26.0
24,Aguas Buenas,1355.0,5453.0,184.76028052279247,201.96666666666667,29.0,16.0,9.0,,0.0,0.0,,34.0
25,Aibonito,793.0,3581.0,184.76028052279247,201.96666666666667,38.0,2.0,6.0,,0.0,0.0,,28.0
26,Aiken ›,17304.0,10127.0,224.0,131.0,26.0,2.0,8.0,7,-45.0,0.0,,22.0
27,Aitkin ›,1347.0,8479.0,36.0,227.0,43.0,1.0,7.0,13,-38.0,0.0,,37.0
28,Alachua ›,25009.0,9296.0,279.0,104.0,36.0,11.0,10.0,13,4.0,0.6,0.52,39.0
29,Alamance ›,18189.0,10730.0,277.0,163.0,33.0,34.0,14.0,15,-8.0,0.3,0.12,28.0
30,Alameda ›,87961.0,5263.0,1657.0,99.0,45.0,1.0,6.0,5,-5.0,0.0,,25.536858475894245
31,Alamosa ›,1565.0,9641.0,31.0,191.0,0.0,4.0,15.0,,-100.0,0.0,,25.536858475894245
32,Albany ›,4406.0,11332.0,12.0,31.0,34.0,4.0,18.0,,0.0,0.0,,25.0
33,Albany ›,24385.0,7982.0,350.0,115.0,48.0,8.0,14.0,9,-27.0,0.0,,46.0
34,Albemarle ›,5768.0,5276.0,83.0,76.0,0.0,1.0,2.0,8,-36.0,0.1,2.05,25.536858475894245
35,Alcona ›,726.0,6977.0,29.0,279.0,42.0,1.0,17.0,,0.0,0.0,,50.0
36,Alcorn ›,3133.0,8478.0,68.0,184.0,20.0,1.0,2.0,,-100.0,0.0,,27.0
37,Aleutians East Borough ›,365.0,10938.0,3.0,90.0,31.0,5.0,9.0,1,-80.0,0.0,,32.0
38,Aleutians West Census Area,697.0,12371.0,0.0,201.96666666666667,29.0,14.0,15.0,10,3.0,0.4,0.44,31.0
39,Alexander ›,468.0,8124.0,11.0,191.0,17.0,1.0,3.0,10,24.0,0.0,,35.0
40,Alexander ›,4397.0,11726.0,84.0,224.0,27.0,4.0,19.0,4,-16.0,0.0,,24.0
41,Alexandria ›,11780.0,7389.0,135.0,85.0,0.0,2.0,8.0,7,-27.0,0.1,0.47,25.536858475894245
42,Alfalfa ›,1154.0,20239.0,6.0,105.0,33.0,7.0,17.0,7,-15.0,0.1,0.37,24.0
43,Alger ›,662.0,7268.0,6.0,66.0,43.0,10.0,11.0,14,-53.0,0.7,0.77,46.0
44,Allamakee ›,1514.0,11062.0,51.0,373.0,37.0,1.0,6.0,12,300.0,0.0,,36.0
45,Allegany ›,6912.0,9816.0,208.0,295.0,33.0,82.0,14.0,34,-25.0,2.4,0.41,34.0
46,Allegany ›,3398.0,7372.0,84.0,182.0,27.0,19.0,12.0,6,11.0,0.4,0.28,43.0
47,Allegan ›,10784.0,9133.0,139.0,118.0,32.0,394.0,22.0,30,-33.0,14.0,0.8,31.0
48,Alleghany ›,1051.0,9437.0,5.0,45.0,35.0,7.0,11.0,8,-6.0,0.3,0.45,26.0
49,Alleghany ›,1342.0,9031.0,48.0,323.0,0.0,5.0,6.0,4,-61.0,0.0,,25.536858475894245
50,Allegheny ›,99709.0,8199.0,1934.0,159.0,41.0,5.0,13.0,12,26.0,0.1,0.37,27.0
51,Allendale ›,930.0,10704.0,15.0,173.0,26.0,2.0,12.0,9,-32.0,0.0,,25.0
52,Allen ›,3192.0,12456.0,92.0,359.0,18.0,4.0,20.0,8,4.0,0.0,,23.0
53,Allen ›,11704.0,11435.0,232.0,227.0,28.0,62.0,14.0,19,-26.0,0.9,0.2,37.0
54,Allen ›,40834.0,10766.0,699.0,184.0,30.0,5.0,6.0,7,-5.0,0.1,0.17,34.0
55,Allen ›,1244.0,10057.0,19.0,154.0,28.0,0.0,,,0.0,0.0,,29.0
56,Allen ›,2078.0,9749.0,40.0,188.0,26.0,3.0,14.0,5,210.0,0.0,,31.0
57,Alpena ›,2195.0,7728.0,60.0,211.0,38.0,4.0,16.0,6,-18.0,0.0,,45.0
58,Alpine ›,88.0,7795.0,0.0,201.96666666666667,0.0,50.0,5.0,9,-19.0,1.7,0.17,31.0
59,Amador ›,3657.0,9200.0,47.0,118.0,31.0,6.0,6.0,5,-30.0,0.1,0.15,29.0
60,Amelia ›,902.0,6862.0,32.0,243.0,0.0,1.0,6.0,11,-8.0,0.0,,25.536858475894245
61,Amherst ›,2923.0,9249.0,37.0,117.0,0.0,4.0,7.0,19,27.0,0.1,0.25,25.536858475894245
62,Amite ›,1231.0,10011.0,42.0,342.0,20.0,1.0,4.0,5,-65.0,0.0,,23.0
63,Anchorage Municipality ›,30305.0,10523.0,171.0,59.0,40.0,1.0,27.0,4,-46.0,0.0,,36.0
64,Anderson ›,22910.0,11310.0,521.0,257.0,24.0,6.0,8.0,6,-8.0,0.1,0.21,27.0
65,Anderson ›,1742.0,7658.0,22.0,97.0,35.0,2.0,5.0,4,-45.0,0.1,0.46,22.0
66,Anderson ›,6201.0,10740.0,123.0,213.0,14.0,2.0,13.0,,-100.0,0.0,,33.0
67,Anderson ›,8792.0,11421.0,171.0,222.0,33.0,1.0,7.0,,0.0,0.0,,22.0
68,Anderson ›,837.0,10652.0,18.0,229.0,27.0,1.0,3.0,,0.0,0.0,,27.0
69,Andrews ›,1824.0,9751.0,47.0,251.0,27.0,1.0,7.0,8,-22.0,0.0,,35.0
70,Andrew ›,1861.0,10507.0,20.0,113.0,23.0,2.0,14.0,,0.0,0.0,,23.0
71,Androscoggin ›,7868.0,7267.0,72.0,66.0,38.0,45.0,41.0,15,1.0,0.0,,38.0
72,Angelina ›,8597.0,9914.0,280.0,323.0,25.0,1.0,7.0,6,-74.0,0.0,,27.0
73,Anne Arundel ›,43315.0,7478.0,606.0,105.0,41.0,15.0,9.0,28,-24.0,0.3,0.2,42.0
74,Anoka ›,41604.0,11656.0,438.0,123.0,31.0,3.0,18.0,17,-19.0,0.3,1.75,27.0
75,Anson ›,2581.0,10558.0,55.0,225.0,15.0,7.0,13.0,4,-39.0,0.0,,16.0
76,Antelope ›,534.0,8479.0,7.0,111.0,26.0,1.0,3.0,,-100.0,0.1,0.43,26.0
77,Antrim ›,1924.0,8249.0,27.0,116.0,41.0,14.0,19.0,20,-26.0,0.6,0.76,33.0
78,Apache ›,11381.0,15832.0,429.0,597.0,49.0,467.0,10.0,9,-5.0,6.3,0.14,30.0
79,Appanoose ›,1280.0,10301.0,49.0,394.0,32.0,1.0,5.0,11,14.0,0.0,,33.0
80,Appling ›,2321.0,12624.0,71.0,386.0,0.0,18.0,12.0,38,-15.0,0.7,0.49,25.536858475894245
81,Appomattox ›,1592.0,10006.0,25.0,157.0,0.0,14.0,10.0,4,-70.0,0.4,0.32,25.536858475894245
82,Aransas ›,1251.0,5321.0,40.0,170.0,35.0,0.0,,8,118.0,0.0,,33.0
83,Arapahoe ›,60926.0,9279.0,784.0,119.0,0.0,23.0,7.0,4,-62.0,0.1,0.04,25.536858475894245
84,Archer ›,806.0,9424.0,12.0,140.0,32.0,1.0,6.0,9,-47.0,0.0,,32.0
85,Archuleta ›,954.0,6800.0,1.0,7.0,0.0,1.0,12.0,12,22.0,0.0,,25.536858475894245
86,Arecibo,3490.0,4250.0,184.76028052279247,201.96666666666667,34.0,2.0,9.0,,0.0,0.0,,24.0
87,Arenac ›,1167.0,7841.0,29.0,195.0,35.0,18.0,16.0,8,-72.0,1.1,1.04,35.0
88,Arkansas ›,2110.0,12067.0,36.0,206.0,32.0,1.0,7.0,7,346.0,0.0,,33.0
89,Arlington ›,15246.0,6437.0,255.0,108.0,0.0,1.0,4.0,11,13.0,0.1,0.45,25.536858475894245
90,Armstrong ›,194.0,10281.0,6.0,318.0,25.0,3.0,8.0,11,-23.0,0.0,,25.0
91,Armstrong ›,5883.0,9088.0,135.0,209.0,37.0,102.0,16.0,19,-35.0,1.7,0.27,39.0
92,Aroostook ›,1772.0,2643.0,45.0,67.0,44.0,38.0,13.0,16,16.0,0.1,0.05,52.0
93,Arroyo,447.0,2604.0,184.76028052279247,201.96666666666667,28.0,1.0,3.0,,0.0,0.0,,27.0
94,Arthur ›,22.0,4752.0,1.0,216.0,11.0,0.0,,,0.0,0.0,,16.0
95,Ascension ›,12313.0,9726.0,164.0,130.0,26.0,13.0,5.0,<1,-61.0,0.0,,33.0
96,Ashe ›,2125.0,7812.0,41.0,151.0,32.0,2.0,9.0,,-100.0,0.0,,29.0
97,Ashland ›,4246.0,7939.0,89.0,166.0,25.0,1.0,5.0,,-100.0,0.0,,32.0
98,Ashland ›,1362.0,8752.0,15.0,96.0,45.0,1.0,3.0,4,-31.0,0.0,,22.0
99,Ashley ›,2019.0,10271.0,35.0,178.0,26.0,1.0,4.0,,0.0,0.0,,20.0
100,Ashtabula ›,6861.0,7056.0,170.0,175.0,31.0,1.0,3.0,8,-17.0,0.0,,31.0
101,Asotin ›,1452.0,6430.0,28.0,124.0,25.0,4.0,18.0,3,-47.0,0.1,0.64,32.0
102,Assumption ›,2212.0,10105.0,36.0,164.0,23.0,29.0,7.0,9,72.0,0.0,,41.0
103,Atascosa ›,5769.0,11278.0,150.0,293.0,23.0,1.0,39.0,6,-19.0,0.0,,24.0
104,Atchison ›,455.0,8847.0,6.0,117.0,38.0,2.0,4.0,14,4.0,0.0,,23.0
105,Atchison ›,1633.0,10160.0,14.0,87.0,27.0,1.0,1.0,5,-48.0,0.0,,27.0
106,Athens ›,5204.0,7966.0,58.0,89.0,34.0,2.0,6.0,11,1.0,0.0,,41.0
107,Atkinson ›,1030.0,12615.0,22.0,269.0,0.0,22.0,11.0,12,-11.0,0.4,0.21,25.536858475894245
108,Atlantic ›,31332.0,11883.0,673.0,255.0,41.0,30.0,10.0,18,-25.0,1.9,0.64,39.0
109,Atoka ›,1872.0,13607.0,25.0,182.0,22.0,4.0,5.0,7,-16.0,0.3,0.31,27.0
110,Attala ›,2144.0,11797.0,73.0,402.0,26.0,3.0,8.0,3,-44.0,0.0,,26.0
111,Audrain ›,2705.0,10655.0,57.0,225.0,23.0,2.0,19.0,8,3.0,0.0,,20.0
112,Audubon ›,510.0,9279.0,10.0,182.0,43.0,1.0,3.0,,0.0,0.1,1.15,32.0
113,Auglaize ›,4939.0,10818.0,84.0,184.0,28.0,6.0,14.0,4,-49.0,0.0,,34.0
114,Augusta ›,5803.0,7680.0,71.0,94.0,0.0,1.0,10.0,19,-19.0,0.0,,25.536858475894245
115,Aurora ›,473.0,17194.0,15.0,545.0,32.0,2.0,26.0,14,-37.0,0.0,,32.0
116,Austin ›,2162.0,7199.0,35.0,117.0,27.0,1.0,2.0,2,-10.0,0.0,,22.0
117,Autauga ›,6938.0,12418.0,108.0,193.0,20.0,5.0,8.0,16,6.0,0.0,,19.0
118,Avery ›,2127.0,12115.0,20.0,114.0,33.0,71.0,21.0,10,6.0,0.6,0.17,34.0
119,Avoyelles ›,4222.0,10517.0,123.0,306.0,21.0,10.0,10.0,5,106.0,0.0,,23.0
120,Añasco,969.0,3722.0,184.76028052279247,201.96666666666667,28.0,1.0,6.0,,0.0,0.0,,25.0
121,Baca ›,305.0,8517.0,4.0,112.0,0.0,2.0,26.0,19,-8.0,0.0,,25.536858475894245
122,Bacon ›,1649.0,14771.0,36.0,322.0,0.0,11.0,16.0,8,-21.0,0.0,,25.536858475894245
123,Bailey ›,823.0,11757.0,19.0,271.0,27.0,3.0,6.0,10,-43.0,0.0,,19.0
124,Baker ›,233.0,7670.0,9.0,296.0,0.0,1.0,3.0,6,-59.0,0.0,,25.536858475894245
125,Baker ›,3511.0,12020.0,60.0,205.0,16.0,52.0,16.0,7,-42.0,1.1,0.35,30.0
126,Baker ›,954.0,5917.0,14.0,87.0,52.0,8.0,16.0,6,-41.0,0.1,0.27,30.0
127,Baldwin ›,21191.0,9493.0,309.0,138.0,24.0,3.0,5.0,4,-18.0,0.0,,28.0
128,Baldwin ›,4536.0,10105.0,130.0,290.0,0.0,2.0,10.0,11,-22.0,0.1,0.67,25.536858475894245
129,Ballard ›,399.0,5058.0,9.0,114.0,20.0,1.0,1.0,6,-22.0,0.0,,29.0
130,Baltimore County ›,64843.0,7837.0,1502.0,182.0,40.0,88.0,11.0,31,-24.0,1.9,0.22,40.0
131,Baltimore ›,52176.0,8791.0,1071.0,180.0,34.0,4.0,11.0,7,-18.0,0.0,,49.0
132,Bamberg ›,1571.0,11169.0,51.0,363.0,25.0,7.0,8.0,5,-42.0,0.3,0.33,29.0
133,Bandera ›,1403.0,6070.0,27.0,117.0,26.0,0.0,,,-100.0,0.0,,15.0
134,Banks ›,1848.0,9608.0,37.0,192.0,0.0,2.0,8.0,10,-2.0,0.0,,25.536858475894245
135,Banner ›,36.0,4832.0,0.0,201.96666666666667,16.0,0.0,,,0.0,0.0,,24.0
136,Bannock ›,8777.0,9996.0,108.0,123.0,30.0,1.0,10.0,12,-20.0,0.0,,31.0
137,Baraga ›,932.0,11353.0,38.0,463.0,38.0,23.0,37.0,26,-12.0,0.3,0.45,25.0
138,Barber ›,374.0,8448.0,6.0,136.0,34.0,0.0,,40,-5.0,0.0,,27.0
139,Barbour ›,1436.0,8734.0,27.0,164.0,0.0,3.0,19.0,,-100.0,0.0,,25.536858475894245
140,Barbour ›,2317.0,9386.0,56.0,227.0,19.0,1.0,4.0,,-100.0,0.0,,22.0
141,Barceloneta,917.0,3901.0,184.76028052279247,201.96666666666667,27.0,2.0,8.0,,0.0,0.0,,30.0
142,Barnes ›,1414.0,13577.0,31.0,298.0,42.0,1.0,15.0,16,-26.0,0.0,,42.0
143,Barnstable ›,13753.0,6457.0,464.0,218.0,4.0,47.0,7.0,5,-44.0,0.3,0.04,45.0
144,Barnwell ›,2581.0,12369.0,57.0,273.0,25.0,20.0,12.0,5,-46.0,0.3,0.18,26.0
145,Barranquitas,1590.0,5787.0,184.76028052279247,201.96666666666667,34.0,8.0,11.0,,0.0,0.0,,27.0
146,Barren ›,4456.0,10070.0,92.0,208.0,28.0,5.0,8.0,4,-37.0,0.0,,17.0
147,Barron ›,5969.0,13193.0,83.0,183.0,36.0,9.0,21.0,3,-69.0,0.0,,36.0
148,Barrow ›,10019.0,12036.0,139.0,167.0,0.0,71.0,9.0,17,-16.0,1.1,0.15,25.536858475894245
149,Barry ›,2891.0,8078.0,45.0,126.0,24.0,1.0,2.0,9,25.0,0.0,,18.0
150,Barry ›,5769.0,9373.0,65.0,106.0,30.0,3.0,24.0,15,-29.0,0.1,1.02,32.0
151,Bartholomew ›,8099.0,9667.0,161.0,192.0,34.0,2.0,8.0,7,-40.0,0.0,,29.0
152,Barton ›,2616.0,10148.0,49.0,190.0,27.0,0.0,,,0.0,0.0,,34.0
153,Barton ›,1176.0,10005.0,14.0,119.0,19.0,1.0,8.0,,-100.0,0.0,,19.0
154,Bartow ›,14793.0,13731.0,225.0,209.0,0.0,5.0,14.0,5,-45.0,0.2,0.47,25.536858475894245
155,Bastrop ›,9473.0,10677.0,93.0,105.0,25.0,2.0,10.0,7,22.0,0.1,0.61,19.0
156,Bates ›,1336.0,8261.0,29.0,179.0,23.0,1.0,2.0,9,-15.0,0.0,,24.0
157,Bath ›,1000.0,8000.0,21.0,168.0,32.0,1.0,7.0,,-100.0,0.0,,24.0
158,Bath ›,271.0,6535.0,10.0,241.0,0.0,1.0,4.0,8,-36.0,0.0,,25.536858475894245
159,Baxter ›,3180.0,7584.0,104.0,248.0,28.0,0.0,,,0.0,0.0,,30.0
160,Bayamón,12467.0,7313.0,184.76028052279247,201.96666666666667,34.0,4.0,17.0,,0.0,0.0,,29.0
161,Bayfield ›,1272.0,8460.0,19.0,126.0,59.0,1.0,2.0,,-100.0,0.0,,41.0
162,Baylor ›,298.0,8492.0,12.0,342.0,30.0,1.0,4.0,11,-38.0,0.0,,33.0
163,Bay ›,20324.0,11633.0,392.0,224.0,26.0,34.0,16.0,11,-22.0,0.3,0.13,24.0
164,Bay ›,10980.0,10647.0,340.0,330.0,38.0,44.0,28.0,12,-67.0,0.6,0.36,33.0
165,Beadle ›,2955.0,16014.0,40.0,217.0,28.0,1.0,12.0,13,-32.0,0.0,,36.0
166,Bear Lake ›,387.0,6318.0,2.0,33.0,28.0,0.0,,,0.0,0.0,,28.0
167,Beaufort ›,16805.0,8747.0,206.0,107.0,37.0,1.0,4.0,,-100.0,0.0,,27.0
168,Beaufort ›,4605.0,9799.0,95.0,202.0,35.0,4.0,12.0,26,-2.0,0.1,0.41,26.0
169,Beauregard ›,3207.0,8553.0,78.0,208.0,16.0,2.0,7.0,8,-14.0,0.1,0.57,25.0
170,Beaverhead ›,910.0,9627.0,10.0,106.0,37.0,1.0,5.0,,-100.0,0.0,,29.0
171,Beaver ›,15125.0,9227.0,380.0,232.0,26.0,7.0,17.0,6,-73.0,0.0,,26.0
172,Beaver ›,791.0,11788.0,7.0,104.0,22.0,13.0,10.0,,-100.0,0.0,,26.0
173,Beaver ›,474.0,8925.0,6.0,113.0,19.0,0.0,,,0.0,0.0,,23.0
174,Becker ›,3797.0,11030.0,51.0,148.0,37.0,5.0,12.0,17,-23.0,0.0,,40.0
175,Beckham ›,2898.0,13258.0,55.0,252.0,25.0,1.0,8.0,,-100.0,0.0,,24.0
176,Bedford ›,6379.0,8075.0,102.0,129.0,0.0,1.0,13.0,,-100.0,0.0,,25.536858475894245
177,Bedford ›,6521.0,13117.0,128.0,257.0,19.0,38.0,5.0,13,-23.0,1.1,0.16,34.0
178,Bedford ›,4490.0,9376.0,136.0,284.0,23.0,37.0,18.0,13,-19.0,0.4,0.21,38.0
179,Bee ›,3503.0,10757.0,72.0,221.0,25.0,2.0,15.0,6,-74.0,0.0,,27.0
180,Belknap ›,4036.0,6584.0,100.0,163.0,35.0,22.0,17.0,6,0.0,0.7,0.55,30.0
181,Bell ›,3107.0,11935.0,54.0,207.0,28.0,4.0,26.0,14,-9.0,0.1,0.84,33.0
182,Bell ›,22566.0,6218.0,434.0,120.0,18.0,0.0,,11,251.0,0.0,,26.0
183,Belmont ›,5953.0,8884.0,167.0,249.0,30.0,3.0,6.0,,-100.0,0.0,,29.0
184,Beltrami ›,3944.0,8358.0,59.0,125.0,37.0,1.0,4.0,17,-26.0,0.0,,40.0
185,Ben Hill ›,2107.0,12617.0,79.0,473.0,0.0,3.0,11.0,25,0.0,0.1,0.55,25.536858475894245
186,Benewah ›,685.0,7367.0,9.0,97.0,29.0,1.0,3.0,,0.0,0.0,,25.0
187,Bennett ›,391.0,11620.0,9.0,267.0,27.0,1.0,3.0,13,-38.0,0.0,,32.0
188,Bennington ›,2000.0,5639.0,14.0,39.0,0.0,5.0,20.0,,-100.0,0.0,,25.536858475894245
189,Benson ›,1093.0,15998.0,18.0,263.0,23.0,1.0,40.0,,0.0,0.0,,39.0
190,Benton ›,29083.0,10419.0,416.0,149.0,26.0,1.0,4.0,1,-39.0,0.0,,28.0
191,Benton ›,1670.0,10334.0,40.0,248.0,26.0,1.0,4.0,5,11.0,0.0,,23.0
192,Benton ›,1677.0,8625.0,33.0,170.0,31.0,1.0,3.0,,-100.0,0.0,,38.0
193,Benton ›,995.0,12047.0,25.0,303.0,23.0,2.0,9.0,7,182.0,0.1,0.69,25.0
194,Benton ›,5682.0,13896.0,97.0,237.0,22.0,99.0,28.0,14,-6.0,0.7,0.2,31.0
195,Benton ›,989.0,11305.0,14.0,160.0,23.0,19.0,12.0,15,9.0,0.3,0.18,31.0
196,Benton ›,3100.0,3331.0,19.0,20.0,45.0,1.0,16.0,,0.0,0.1,1.98,31.0
197,Benton ›,2565.0,10002.0,55.0,214.0,39.0,1.0,4.0,,-100.0,0.0,,41.0
198,Benton ›,16959.0,8297.0,220.0,108.0,31.0,8.0,19.0,5,0.0,0.0,,42.0
199,Bent ›,1533.0,27488.0,21.0,377.0,0.0,10.0,63.0,16,180.0,0.1,0.88,25.536858475894245
200,Benzie ›,1260.0,7092.0,34.0,191.0,46.0,3.0,18.0,,0.0,0.0,,44.0
201,Bergen ›,103542.0,11107.0,2851.0,306.0,46.0,12.0,9.0,2,-76.0,0.1,0.1,39.0
202,Berkeley ›,12397.0,10403.0,125.0,105.0,0.0,5.0,32.0,22,-9.0,0.1,0.95,25.536858475894245
203,Berkeley ›,17573.0,7711.0,197.0,86.0,22.0,1.0,2.0,11,-16.0,0.0,,43.0
204,Berkshire ›,6463.0,5173.0,285.0,228.0,32.0,104.0,6.0,5,-45.0,1.1,0.07,46.0
205,Berks ›,47035.0,11168.0,1010.0,240.0,30.0,4.0,27.0,6,-74.0,0.0,,18.0
206,Bernalillo ›,57776.0,8507.0,938.0,138.0,35.0,3.0,11.0,,-100.0,0.1,0.6,32.0
207,Berrien ›,15149.0,9875.0,276.0,180.0,34.0,6.0,25.0,,-100.0,0.0,,38.0
208,Berrien ›,1851.0,9543.0,44.0,227.0,0.0,2.0,7.0,22,-1.0,0.4,1.28,25.536858475894245
209,Bertie ›,1765.0,9315.0,43.0,227.0,27.0,6.0,10.0,8,-17.0,0.0,,22.0
210,Bethel Census Area ›,3884.0,21125.0,21.0,114.0,44.0,9.0,65.0,,0.0,0.0,,43.0
211,Bexar ›,220529.0,11007.0,3523.0,176.0,32.0,1.0,20.0,2,-35.0,0.0,,36.0
212,Bibb ›,15925.0,10398.0,448.0,293.0,0.0,1.0,13.0,,-100.0,0.0,,25.536858475894245
213,Bibb ›,2615.0,11677.0,64.0,286.0,16.0,3.0,5.0,12,-1.0,0.0,,26.0
214,Bienville ›,1669.0,12605.0,81.0,612.0,27.0,5.0,21.0,9,6.0,0.1,0.66,31.0
215,Big Horn ›,1160.0,9839.0,33.0,280.0,22.0,1.0,12.0,,-100.0,0.0,,21.0
216,Big Horn ›,2567.0,19273.0,75.0,563.0,46.0,7.0,41.0,,0.0,0.0,,37.0
217,Big Stone ›,600.0,12022.0,4.0,80.0,49.0,9.0,20.0,8,-47.0,0.1,0.33,32.0
218,Billings ›,54.0,5819.0,0.0,201.96666666666667,13.0,0.0,,,0.0,0.0,,8.0
219,Bingham ›,4842.0,10344.0,74.0,158.0,26.0,3.0,14.0,6,-35.0,0.0,,24.0
220,Black Hawk ›,15804.0,12043.0,308.0,235.0,39.0,1.0,9.0,4,-66.0,0.0,,44.0
221,Blackford ›,1363.0,11592.0,32.0,272.0,29.0,6.0,13.0,15,-13.0,0.1,0.3,23.0
222,Bladen ›,3271.0,9996.0,42.0,128.0,20.0,9.0,12.0,13,-14.0,0.3,0.4,31.0
223,Blaine ›,21.0,4516.0,0.0,201.96666666666667,16.0,0.0,,11,14.0,0.0,,15.0
224,Blaine ›,763.0,11420.0,23.0,344.0,53.0,1.0,11.0,15,54.0,0.0,,28.0
225,Blaine ›,1045.0,11083.0,18.0,191.0,27.0,1.0,2.0,19,10.0,0.0,,27.0
226,Blaine ›,2377.0,10325.0,18.0,78.0,51.0,2.0,13.0,8,-43.0,0.0,,29.0
227,Blair ›,13031.0,10696.0,331.0,272.0,32.0,11.0,23.0,17,123.0,0.0,,27.0
228,Blanco ›,735.0,6160.0,20.0,168.0,35.0,0.0,,,-100.0,0.0,,36.0
229,Bland ›,676.0,10764.0,10.0,159.0,0.0,11.0,13.0,19,-19.0,0.2,0.19,25.536858475894245
230,Bleckley ›,1477.0,11474.0,51.0,396.0,0.0,7.0,7.0,8,-23.0,0.6,0.6,25.536858475894245
231,Bledsoe ›,2156.0,14312.0,11.0,73.0,16.0,4.0,12.0,,-100.0,0.0,,28.0
232,Blount ›,6694.0,11576.0,137.0,237.0,15.0,6.0,5.0,9,-8.0,0.4,0.38,24.0
233,Blount ›,15551.0,11685.0,196.0,147.0,31.0,2.0,8.0,9,-22.0,0.0,,22.0
234,Blue Earth ›,7496.0,11080.0,41.0,61.0,37.0,7.0,12.0,12,-38.0,0.0,,33.0
235,Boise ›,356.0,4546.0,2.0,26.0,22.0,0.0,,15,-20.0,0.0,,22.0
236,Bolivar ›,4802.0,15678.0,132.0,431.0,31.0,30.0,97.0,,-100.0,0.0,,26.0
237,Bollinger ›,1122.0,9248.0,12.0,99.0,19.0,1.0,5.0,12,4.0,0.0,,24.0
238,Bon Homme ›,1548.0,22432.0,27.0,391.0,38.0,10.0,8.0,11,37.0,0.4,0.38,28.0
239,Bond ›,2048.0,12468.0,30.0,183.0,32.0,3.0,19.0,10,-34.0,0.0,,37.0
240,Bonner ›,3248.0,7101.0,43.0,94.0,28.0,1.0,2.0,,0.0,0.0,,28.0
241,Bonneville ›,14899.0,12514.0,167.0,140.0,28.0,4.0,13.0,6,-38.0,0.0,,23.0
242,Boone ›,584.0,11248.0,4.0,77.0,37.0,1.0,14.0,13,156.0,0.0,,30.0
243,Boone ›,14323.0,10722.0,148.0,111.0,35.0,7.0,15.0,12,-2.0,0.0,,29.0
244,Boone ›,3832.0,10237.0,80.0,214.0,20.0,1.0,4.0,,-100.0,0.0,,20.0
245,Boone ›,2043.0,9521.0,34.0,158.0,0.0,4.0,24.0,10,-25.0,0.0,,25.536858475894245
246,Boone ›,18403.0,10198.0,93.0,52.0,40.0,1.0,9.0,9,-16.0,0.0,,16.0
